"Name","Salary"
"Anthony Beauvillier ",912576
"Alex Lyon ",900000
"Ben Hutton ",900000
"Derek Ryan ",900000
"Kevin Bahl ",900000
"Matt Nieto ",900000
"Rasmus Kupari ",900000
"Ty Dellandrea ",900000
"Urho Vaakanainen ",900000
"Samuel Ersson ",892500
NA,NA
"Zach Bogosian ",890514
"Anthony Duclair ",879564
"Oliver Wahlstrom ",874125
"Matthew Poitras ",870000
"Alex Vlasic ",867500
"Sam Hentges ",867500
"Tye Kartye ",867500
"Will Cuylle ",867500
"Dmitri Voronkov ",864043
"Jack Roslovic ",858622
"Tyson Hinds ",857500
"Dakota Joshua ",850000
"Pierre-Olivier Joseph ",850000
"Reese Johnson ",850000
"Sam Steel ",850000
"Sebastian Aho ",850000
"Brady Stonehouse ",845000
"Mathew Dumba ",837179
"Alex Laferriere ",833763
"Cole Perfetti ",832500
NA,NA
"Dawson Mercer ",832500
"Jack Quinn ",832500
"Jake Neighbours ",832500
"Kaiden Guhle ",832500
"Marco Rossi ",832500
"Moritz Seider ",832500
"Nicholas Robertson ",832500
"Nikita Alexandrov ",832500
"Peyton Krebs ",832500
"Quinton Byfield ",832500
"Ridly Greig ",832500
"Seth Jarvis ",832500
"Thomas Harley ",832500
"Tyson Foerster ",832500
"Ville Heinola ",832500
"Connor McMichael ",828210
"Andrew Cogliano ",825000
"Erik Gustafsson ",825000
"Joe Veleno ",825000
"Jonathan Drouin ",825000
NA,NA
"Jonathan Quick ",825000
"Pavel Dorofeyev ",825000
"Ryan Lomberg ",825000
"Arthur Kaliyev ",823851
"Simon Holmstrom ",819492
"Vitek Vanecek ",804994
"Jordan Spence ",802056
"Blake Wheeler ",800000
"Brendan Lemieux ",800000
"Brett Leason ",800000
"Cal Foote ",800000
"Cayden Primeau ",800000
"Givani Smith ",800000
"Jimmy Vesey ",800000
"Liam O'Brien ",800000
"Luke Glendening ",800000
"Mackenzie Entwistle ",800000
"Mark Giordano ",800000
"Mark Kastelic ",800000
"Michael Eyssimont ",800000
NA,NA
"Nick Seeler ",800000
"Samuel Bolduc ",800000
"Thomas Novak ",800000
"Travis Dermott ",800000
"Tyler Motte ",800000
"Tyler Tucker ",800000
"Zachary Jones ",800000
"Kent Johnson ",794299
"Sean Monahan ",789868
"Austin Watson ",776665
"Jonah Gadjovich ",776103
"A.J. Greer ",775000
"Alexander Alexeyev ",775000
"Beck Malenstyn ",775000
"Benoit-Olivier Groulx ",775000
"Bobby McMann ",775000
"Calvin de Haan ",775000
"Chris Tierney ",775000
"Chris Wideman ",775000
"Cole Smith ",775000
NA,NA
"Connor Brown ",775000
"Darren Raddysh ",775000
"David Gustafsson ",775000
"Dennis Gilbert ",775000
"Egor Sokolov ",775000
"Haydn Fleury ",775000
"Hudson Fasching ",775000
"Jack Johnson ",775000
"Jakub Lauko ",775000
"Jalen Chatfield ",775000
"Jerad Rosburg ",775000
"Jesse Puljujarvi ",775000
"Jesse Ylönen ",775000
"Joel Hofer ",775000
"John Ludvig ",775000
"Johnathan Kovacevic ",775000
"Jonas Johansson ",775000
"Joseph Woll ",775000
"Josh Jacobs ",775000
"Kiefer Sherwood ",775000
NA,NA
"Logan Brown ",775000
"Logan Thompson ",775000
"Lukas Dostal ",775000
"Luke Evangelista ",775000
"Michael Amadio ",775000
"Michael Carcone ",775000
"Michael McCarron ",775000
"Michael Pezzetta ",775000
"Noah Gregor ",775000
"Noah Juulsen ",775000
"Oskar Sundqvist ",775000
"Parker Kelly ",775000
"Paul Cotter ",775000
"Phillip di Giuseppe ",775000
"Pierre-Edouard Bellemare ",775000
"Ryan Carpenter ",775000
"Scott Perunovich ",775000
"Shane Pinto ",775000
"Stefan Noesen ",775000
"Taylor Raddysh ",775000
NA,NA
"Trevor Lewis ",775000
"Ty Emberson ",775000
"Vincent Desharnais ",775000
"Will Butcher ",775000
"Yegor Zamula ",775000
"Connor Zary ",767589
"Aliaksei Protas ",766962
"Mark Friedman ",766404
"Yegor Chinakhov ",762216
"Mike Reilly ",759220
"Sean Walker ",754177
"Tyler Toffoli ",751325
"Walker Duehr ",746672
"Jacob Bernard-Docker ",739800
"Simon Nemec ",738644
"Matthew Rempe ",736584
"Jansen Harkins ",732960
"Nils Åman ",728914
"Dakota Mermis ",714208
"Jacob MacDonald ",706092
NA,NA
"Calen Addison ",699678
"Erik Johnson ",697656
"Henry Thrun ",694042
"Danton Heinen ",693918
"Bowen Byram ",693418
"Ilya Lyubushkin ",691104
"Simon Benoit ",689860
"John Beecher ",680965
"Martin Pospisil ",673628
"Dylan Holloway ",672247
"Calvin Pickard ",657396
"Robert Bortuzzo ",656568
"Caleb Jones ",653338
"Vinni Lettieri ",645222
"Zack MacEwen ",645222
