"Name","Salary","Tm","Pos","GP","gf_60","ga_60","avg_shift","even_toi_sec","pp_toi_sec","sh_toi_sec"
"Sean Durzi",2000000,"ARI","D",76,9.2,7.6,48,1092,195,74
"Tyson Jost",2000000,"BUF","C",43,0,4.5,37,597,1,37
"Vladislav Namestnikov",2000000,"WPG","C",78,7.6,8.7,31,708,78,80
"Elias Lindholm",1980654,"TOT","C",75,4.8,6.2,34,871,172,137
"Jacob Bryson",1900000,"BUF","D",36,0,3.3,49,818,0,61
"Michael Rasmussen",1900000,"DET","C",75,10.1,5.4,47,795,9,106
"Ryan Johansen",1801055,"COL","C",63,6,9.2,56,686,113,18
"Morgan Frost",1800000,"PHI","C",71,4.5,0,49,791,156,1
"Alexandre Texier",1750000,"CBJ","C",78,5.8,8.7,50,781,23,105
"Cal Clutterbuck",1750000,"NYI","RW",82,0,11.1,35,598,3,111
"Owen Tippett",1750000,"PHI","RW",78,3.8,0,53,833,159,1
"William Carrier",1750000,"VEG","LW",39,0,0,33,664,2,3
"Jake Evans",1700000,"MTL","C/RW",82,0,9.5,43,762,8,190
"Blake Lizotte",1675000,"LAK","C",62,11.3,3.4,30,602,5,102
"Cameron York",1600000,"PHI","D",82,3.2,7.5,44,1091,125,140
"Pius Suter",1600000,"VAN","F",67,6.9,6.8,48,749,101,78
"Rasmus Sandin",1600000,"WSH","D",68,8.2,11.3,47,1169,84,13
"Jack McBain",1599999,"ARI","C",67,0,7.2,38,650,3,104
"Ryan McLeod",1545000,"EDM","C",81,5.5,4.2,43,747,32,74
"Eetu Luostarinen",1500000,"FLA","C",82,6.9,6.5,44,756,44,155
"Kailer Yamamoto",1500000,"SEA","RW",59,8.5,14.9,53,586,129,4
"Matt Martin",1500000,"NYI","LW",57,0,0,36,555,1,1
"Max Jones",1500000,"ANA","LW",52,6,0,38,676,45,0
"Timothy Liljegren",1500000,"TOR","D",55,7.1,11,47,1013,100,65
"Nicolas Hague",1482450,"VEG","D",73,0,5.5,54,1011,2,98
